epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.204,0.8147,2.52923,1.31965,0.00333,1,0.995,0.87241,0.35518,2.8376,0.98422,0.00034,0.00034,0.00034
2,43.7027,0.56352,1.63398,1.08134,0.00333,1,0.995,0.93387,0.30574,2.75246,0.93738,0.000696535,0.000696535,0.000696535
3,62.8109,0.56336,1.20365,1.04896,0.91767,1,0.98885,0.91822,0.43354,1.80231,1.09777,0.00104951,0.00104951,0.00104951
4,82.5751,0.55984,1.00949,1.01231,0.91582,0.9073,0.9694,0.80722,0.53757,1.97887,1.09036,0.00139891,0.00139891,0.00139891
5,101.236,0.52604,0.96038,1.0043,0.99693,1,0.995,0.88307,0.41147,1.78808,0.98165,0.00174476,0.00174476,0.00174476
6,119.652,0.54556,0.9625,1.01439,0.64401,0.5,0.64975,0.38439,1.25222,3.48517,2.35709,0.0019505,0.0019505,0.0019505
7,137.555,0.54976,0.88643,1.0253,0.82743,1,0.98357,0.86939,0.49439,1.66593,1.04219,0.0019406,0.0019406,0.0019406
8,156.593,0.52531,0.87443,1.03187,0.6587,0.80546,0.80714,0.62317,0.67264,2.02646,1.21342,0.0019307,0.0019307,0.0019307
9,175.336,0.56157,0.85667,1.04555,0.99055,1,0.995,0.95557,0.37628,0.93472,0.94557,0.0019208,0.0019208,0.0019208
10,194.087,0.49996,0.74643,0.98393,0.98244,1,0.995,0.92867,0.38709,0.93556,0.99883,0.0019109,0.0019109,0.0019109
11,212.575,0.51799,0.74544,1.02034,0.9933,1,0.995,0.84734,0.45871,1.11034,1.08215,0.001901,0.001901,0.001901
12,230.689,0.47377,0.67981,0.9764,0.9956,1,0.995,0.91512,0.40833,0.67834,1.09472,0.0018911,0.0018911,0.0018911
13,248.013,0.49058,0.68472,1.01157,0.99585,1,0.995,0.90841,0.36136,0.72215,0.95316,0.0018812,0.0018812,0.0018812
14,266.979,0.45104,0.6292,0.97637,0.99561,1,0.995,0.97902,0.36189,0.59878,0.92113,0.0018713,0.0018713,0.0018713
15,285.698,0.41998,0.59585,0.95801,0.98654,1,0.995,0.95292,0.33897,0.76684,0.91195,0.0018614,0.0018614,0.0018614
16,303.755,0.42842,0.54776,0.94563,0.99511,1,0.995,0.9801,0.26782,0.52749,0.88715,0.0018515,0.0018515,0.0018515
17,323.286,0.46651,0.57971,0.98992,0.99512,1,0.995,0.95643,0.30833,0.53592,0.88957,0.0018416,0.0018416,0.0018416
18,341.947,0.4719,0.55985,0.9822,0.99549,1,0.995,0.94804,0.30387,0.54812,0.8767,0.0018317,0.0018317,0.0018317
19,361.324,0.4505,0.54972,0.97381,0.99536,1,0.995,0.95708,0.31906,0.53349,0.91242,0.0018218,0.0018218,0.0018218
20,380.279,0.44139,0.51557,0.95902,1,0.99047,0.995,0.93988,0.33017,0.77062,0.90327,0.0018119,0.0018119,0.0018119
21,398.274,0.40825,0.48341,0.94554,0.99553,1,0.995,0.97366,0.26742,0.45838,0.88313,0.001802,0.001802,0.001802
