epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4872,0.67304,2.49898,1.15615,0.00333,1,0.995,0.86826,0.52082,2.8362,0.99377,0.00034,0.00034,0.00034
2,42.0272,0.47859,1.56611,0.97475,0.91734,1,0.995,0.88422,0.43647,2.54078,0.87937,0.000696535,0.000696535,0.000696535
3,60.6178,0.5084,1.11897,0.97921,0.98038,1,0.995,0.91593,0.44269,2.24141,0.88078,0.00104951,0.00104951,0.00104951
4,79.8205,0.50797,1.00106,0.98338,0.98813,1,0.995,0.92124,0.36843,1.37406,0.85542,0.00139891,0.00139891,0.00139891
5,98.1442,0.50726,0.96681,0.99952,0.8412,1,0.93962,0.80651,0.44716,1.89942,0.87753,0.00174476,0.00174476,0.00174476
6,116.337,0.52212,0.97282,0.97952,0.99246,1,0.995,0.87066,0.45682,1.51853,0.93134,0.0019505,0.0019505,0.0019505
7,134.04,0.52324,0.8859,0.97038,1,0.98579,0.995,0.94599,0.33859,1.22708,0.83643,0.0019406,0.0019406,0.0019406
8,152.837,0.50656,0.88745,0.98017,0.97468,1,0.995,0.95085,0.33935,1.47776,0.8461,0.0019307,0.0019307,0.0019307
9,171.017,0.50769,0.86701,0.99436,0.90091,0.90909,0.96479,0.91012,0.37181,1.4582,0.84464,0.0019208,0.0019208,0.0019208
10,190.404,0.45044,0.79234,0.91744,0.99814,1,0.995,0.83987,0.53009,1.11223,0.90679,0.0019109,0.0019109,0.0019109
11,208.945,0.48148,0.69696,0.94232,0.99529,1,0.995,0.96358,0.32286,0.71269,0.8223,0.001901,0.001901,0.001901
12,227.373,0.43471,0.68256,0.93844,0.99074,1,0.995,0.93424,0.33278,0.6774,0.82859,0.0018911,0.0018911,0.0018911
13,244.857,0.43253,0.62549,0.95459,0.99506,1,0.995,0.97947,0.29353,0.60309,0.81271,0.0018812,0.0018812,0.0018812
14,264.112,0.43009,0.61234,0.92062,0.99506,1,0.995,0.927,0.40164,0.61487,0.8718,0.0018713,0.0018713,0.0018713
15,283.122,0.45856,0.58929,0.94179,0.9955,1,0.995,0.94344,0.34689,0.52948,0.84758,0.0018614,0.0018614,0.0018614
16,303.07,0.46415,0.59631,0.95171,0.99558,1,0.995,0.92593,0.34382,0.55702,0.82581,0.0018515,0.0018515,0.0018515
17,322.714,0.45994,0.55386,0.93495,0.99486,1,0.995,0.95309,0.32258,0.52537,0.81855,0.0018416,0.0018416,0.0018416
18,341.557,0.41738,0.52893,0.90809,0.99498,1,0.995,0.96598,0.31353,0.49211,0.81818,0.0018317,0.0018317,0.0018317
19,361.62,0.43353,0.54047,0.93794,0.98953,1,0.995,0.90067,0.40004,0.52481,0.87206,0.0018218,0.0018218,0.0018218
20,380.548,0.42825,0.54506,0.93565,0.99559,1,0.995,0.95127,0.3119,0.47333,0.82188,0.0018119,0.0018119,0.0018119
21,399.037,0.46532,0.5429,0.92631,0.99507,1,0.995,0.96305,0.3486,0.52899,0.82793,0.001802,0.001802,0.001802
22,417.67,0.43525,0.50534,0.92206,0.99548,1,0.995,0.98439,0.27689,0.43906,0.79603,0.0017921,0.0017921,0.0017921
23,435.607,0.44841,0.50189,0.94162,0.99526,1,0.995,0.97344,0.31118,0.43588,0.81276,0.0017822,0.0017822,0.0017822
24,455.02,0.39778,0.46885,0.91148,0.99451,1,0.995,0.98193,0.27236,0.40391,0.80918,0.0017723,0.0017723,0.0017723
25,474.311,0.39899,0.46111,0.91074,0.99383,1,0.995,0.96069,0.31663,0.39688,0.81428,0.0017624,0.0017624,0.0017624
26,493.239,0.40406,0.42902,0.89994,0.99539,1,0.995,0.96188,0.31284,0.379,0.82146,0.0017525,0.0017525,0.0017525
27,512.05,0.39779,0.42707,0.8897,0.99496,1,0.995,0.9586,0.27866,0.3886,0.8062,0.0017426,0.0017426,0.0017426
28,530.443,0.42668,0.43394,0.92334,0.98437,1,0.995,0.93927,0.31745,0.43893,0.82984,0.0017327,0.0017327,0.0017327
29,549.18,0.40723,0.43634,0.93606,0.99342,1,0.995,0.97615,0.2754,0.35564,0.80327,0.0017228,0.0017228,0.0017228
30,567.8,0.3813,0.38903,0.89847,0.99528,1,0.995,0.91834,0.36634,0.36695,0.84564,0.0017129,0.0017129,0.0017129
31,586.372,0.37168,0.39407,0.88742,0.9954,1,0.995,0.96396,0.30354,0.3223,0.80611,0.001703,0.001703,0.001703
32,605.959,0.36323,0.39565,0.89633,0.99548,1,0.995,0.98603,0.25909,0.30101,0.79397,0.0016931,0.0016931,0.0016931
33,625.285,0.35658,0.3637,0.8874,0.9954,1,0.995,0.98194,0.23799,0.301,0.78937,0.0016832,0.0016832,0.0016832
34,644.219,0.37127,0.4059,0.90851,0.99548,1,0.995,0.98275,0.22627,0.27949,0.78212,0.0016733,0.0016733,0.0016733
35,663.972,0.35771,0.38014,0.91219,0.99516,1,0.995,0.98603,0.28635,0.28637,0.8069,0.0016634,0.0016634,0.0016634
36,682.186,0.36014,0.37858,0.8943,0.99554,1,0.995,0.97436,0.25173,0.2656,0.79129,0.0016535,0.0016535,0.0016535
37,701.605,0.3604,0.35754,0.8887,0.9956,1,0.995,0.95369,0.25937,0.25725,0.79721,0.0016436,0.0016436,0.0016436
38,720.329,0.35521,0.34653,0.90363,0.99518,1,0.995,0.995,0.22264,0.23546,0.78674,0.0016337,0.0016337,0.0016337
39,739.508,0.35646,0.33936,0.89229,0.99475,1,0.995,0.94402,0.30812,0.29867,0.81315,0.0016238,0.0016238,0.0016238
40,757.682,0.3626,0.34331,0.91052,0.99469,1,0.995,0.96986,0.28556,0.26293,0.80203,0.0016139,0.0016139,0.0016139
41,775.361,0.34751,0.32449,0.88213,0.9954,1,0.995,0.98358,0.26293,0.23867,0.79841,0.001604,0.001604,0.001604
42,794.724,0.3313,0.32795,0.88715,0.99542,1,0.995,0.98522,0.27567,0.22442,0.80645,0.0015941,0.0015941,0.0015941
43,812.664,0.34546,0.33521,0.90475,0.9955,1,0.995,0.9844,0.25171,0.24145,0.79476,0.0015842,0.0015842,0.0015842
44,831.022,0.34538,0.33872,0.90967,0.99488,1,0.995,0.98521,0.25733,0.23635,0.79076,0.0015743,0.0015743,0.0015743
45,849.816,0.34652,0.32317,0.91264,0.99531,1,0.995,0.96562,0.25448,0.2372,0.78814,0.0015644,0.0015644,0.0015644
46,868.731,0.36378,0.33555,0.90054,0.99569,1,0.995,0.98194,0.25427,0.20938,0.78869,0.0015545,0.0015545,0.0015545
47,886.112,0.34269,0.30743,0.89588,0.99567,1,0.995,0.995,0.23435,0.21486,0.78664,0.0015446,0.0015446,0.0015446
48,903.788,0.35223,0.32117,0.9072,0.99557,1,0.995,0.995,0.23414,0.24906,0.78659,0.0015347,0.0015347,0.0015347
49,922.653,0.32592,0.30951,0.89917,0.9955,1,0.995,0.98359,0.2606,0.23496,0.78944,0.0015248,0.0015248,0.0015248
50,940.907,0.34441,0.31704,0.88145,0.99555,1,0.995,0.995,0.21275,0.17779,0.78102,0.0015149,0.0015149,0.0015149
51,958.907,0.3332,0.30622,0.89736,0.99552,1,0.995,0.97949,0.22061,0.21032,0.787,0.001505,0.001505,0.001505
52,978.129,0.3337,0.29668,0.90825,0.99551,1,0.995,0.96397,0.2468,0.20797,0.79106,0.0014951,0.0014951,0.0014951
53,997.106,0.35286,0.31032,0.89189,0.99551,1,0.995,0.95359,0.30624,0.26564,0.81227,0.0014852,0.0014852,0.0014852
54,1016.47,0.3279,0.29657,0.87414,0.99531,1,0.995,0.995,0.2437,0.25288,0.79318,0.0014753,0.0014753,0.0014753
55,1035.39,0.32533,0.30102,0.89142,0.99544,1,0.995,0.98606,0.24569,0.21966,0.78776,0.0014654,0.0014654,0.0014654
56,1053.75,0.33287,0.29905,0.88247,0.99543,1,0.995,0.97532,0.26223,0.2061,0.78735,0.0014555,0.0014555,0.0014555
57,1072.57,0.31839,0.28973,0.86312,0.99558,1,0.995,0.995,0.22297,0.18988,0.78762,0.0014456,0.0014456,0.0014456
58,1091.07,0.33292,0.30127,0.90394,0.99513,1,0.995,0.995,0.25418,0.20814,0.79343,0.0014357,0.0014357,0.0014357
59,1109.92,0.3319,0.29309,0.8809,0.99281,1,0.995,0.995,0.20285,0.1925,0.78234,0.0014258,0.0014258,0.0014258
60,1128.71,0.3418,0.2996,0.89066,0.99467,1,0.995,0.995,0.22167,0.21561,0.78809,0.0014159,0.0014159,0.0014159
61,1147.81,0.31877,0.2833,0.8982,0.9955,1,0.995,0.97871,0.261,0.22035,0.79506,0.001406,0.001406,0.001406
62,1166.72,0.31157,0.27445,0.86675,0.99543,1,0.995,0.96233,0.23974,0.20717,0.79576,0.0013961,0.0013961,0.0013961
63,1185.69,0.31482,0.27025,0.88104,0.99552,1,0.995,0.98281,0.24793,0.19583,0.79535,0.0013862,0.0013862,0.0013862
64,1204.39,0.33312,0.27983,0.89493,0.99549,1,0.995,0.995,0.23725,0.19945,0.79596,0.0013763,0.0013763,0.0013763
65,1222.77,0.31705,0.27471,0.87967,0.99539,1,0.995,0.995,0.22738,0.18739,0.79042,0.0013664,0.0013664,0.0013664
66,1241.2,0.32048,0.29503,0.89145,0.99375,1,0.995,0.995,0.24455,0.21418,0.78791,0.0013565,0.0013565,0.0013565
67,1260.26,0.32581,0.28032,0.8814,0.99549,1,0.995,0.995,0.25172,0.21719,0.78851,0.0013466,0.0013466,0.0013466
68,1279.63,0.30262,0.27301,0.87255,0.99545,1,0.995,0.97876,0.25567,0.22826,0.79073,0.0013367,0.0013367,0.0013367
69,1299.38,0.28266,0.24982,0.87256,0.99549,1,0.995,0.98531,0.22086,0.20051,0.78013,0.0013268,0.0013268,0.0013268
70,1318.28,0.29428,0.26902,0.87818,0.99559,1,0.995,0.995,0.23013,0.17558,0.78604,0.0013169,0.0013169,0.0013169
71,1336.83,0.29084,0.26349,0.87041,0.99557,1,0.995,0.995,0.2349,0.18926,0.78984,0.001307,0.001307,0.001307
72,1355.07,0.30517,0.27285,0.88205,0.99545,1,0.995,0.98285,0.23963,0.20663,0.79402,0.0012971,0.0012971,0.0012971
73,1373.65,0.31898,0.27815,0.88594,0.99554,1,0.995,0.995,0.20211,0.17932,0.78161,0.0012872,0.0012872,0.0012872
74,1393.51,0.30577,0.26482,0.88254,0.99554,1,0.995,0.95251,0.23269,0.19212,0.7834,0.0012773,0.0012773,0.0012773
75,1411.84,0.29887,0.26601,0.88512,0.9955,1,0.995,0.995,0.22881,0.19039,0.78297,0.0012674,0.0012674,0.0012674
76,1430.05,0.3064,0.26163,0.8789,0.99552,1,0.995,0.995,0.26041,0.22205,0.79594,0.0012575,0.0012575,0.0012575
77,1449.6,0.32109,0.26351,0.88863,0.99544,1,0.995,0.995,0.21895,0.18845,0.78749,0.0012476,0.0012476,0.0012476
78,1467.59,0.32548,0.26475,0.88071,0.99539,1,0.995,0.97813,0.23128,0.21086,0.79547,0.0012377,0.0012377,0.0012377
79,1486.63,0.30048,0.25124,0.87596,0.99509,1,0.995,0.97895,0.23857,0.20078,0.7921,0.0012278,0.0012278,0.0012278
80,1504.66,0.29199,0.25309,0.87641,0.99527,1,0.995,0.995,0.23331,0.19127,0.79444,0.0012179,0.0012179,0.0012179
81,1523.05,0.29894,0.25792,0.87706,0.99546,1,0.995,0.98548,0.23976,0.20841,0.79618,0.001208,0.001208,0.001208
82,1542.34,0.30118,0.25574,0.8866,0.99548,1,0.995,0.995,0.23049,0.21021,0.79256,0.0011981,0.0011981,0.0011981
83,1560.74,0.30177,0.26104,0.88666,0.99557,1,0.995,0.995,0.25173,0.19766,0.79445,0.0011882,0.0011882,0.0011882
84,1579.58,0.29726,0.24624,0.87498,0.99546,1,0.995,0.995,0.2142,0.18553,0.7786,0.0011783,0.0011783,0.0011783
85,1598.58,0.29701,0.25455,0.888,0.99548,1,0.995,0.995,0.2201,0.1931,0.78383,0.0011684,0.0011684,0.0011684
86,1617.81,0.28815,0.23057,0.87143,0.99547,1,0.995,0.995,0.20026,0.17616,0.77876,0.0011585,0.0011585,0.0011585
87,1636.71,0.29688,0.25031,0.89156,0.99539,1,0.995,0.9724,0.24537,0.19745,0.79149,0.0011486,0.0011486,0.0011486
88,1655.31,0.28545,0.24428,0.8979,0.99539,1,0.995,0.995,0.21459,0.18112,0.78086,0.0011387,0.0011387,0.0011387
89,1674.12,0.29967,0.24901,0.89545,0.99543,1,0.995,0.995,0.22113,0.17264,0.78263,0.0011288,0.0011288,0.0011288
90,1691.37,0.26703,0.23462,0.88901,0.99546,1,0.995,0.98296,0.2169,0.16279,0.78011,0.0011189,0.0011189,0.0011189
91,1709.52,0.29418,0.23943,0.87569,0.99546,1,0.995,0.995,0.22263,0.16648,0.78411,0.001109,0.001109,0.001109
