epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0678,0.66789,3.19298,0.94717,0.00333,1,0.29073,0.23797,0.5269,3.5059,0.76129,0.00034,0.00034,0.00034
2,41.3354,0.75249,1.74766,0.94229,0.00333,1,0.64208,0.44887,0.62219,3.2682,0.79699,0.000696535,0.000696535,0.000696535
3,60.2585,0.74552,1.55476,0.9097,0.00333,1,0.18223,0.14829,0.66343,3.38173,0.80082,0.00104951,0.00104951,0.00104951
4,79.4113,0.73222,1.34908,0.92732,0.00111,0.33333,0.00938,0.0086,1.306,4.92347,1.6231,0.00139891,0.00139891,0.00139891
5,97.8076,0.74389,1.28106,0.93329,0.81794,0.5,0.57371,0.44869,1.2101,3.85666,1.19237,0.00174476,0.00174476,0.00174476
6,116,0.7413,1.35221,0.94328,0.97837,1,0.995,0.84197,0.62849,2.05905,0.83282,0.0019505,0.0019505,0.0019505
7,133.949,0.73216,1.2086,0.93201,0.99423,1,0.995,0.87786,0.53312,1.379,0.79337,0.0019406,0.0019406,0.0019406
8,153.073,0.71277,1.18909,0.91974,0.9936,1,0.995,0.87182,0.59729,1.47254,0.80992,0.0019307,0.0019307,0.0019307
9,171.501,0.67367,1.10061,0.9084,0.9952,1,0.995,0.86815,0.51553,1.07404,0.7945,0.0019208,0.0019208,0.0019208
10,190.883,0.70251,1.03115,0.91895,0.79885,0.99328,0.97233,0.84272,0.60504,1.60558,0.85307,0.0019109,0.0019109,0.0019109
11,209.8,0.66749,1.03844,0.92674,0.99401,1,0.995,0.83862,0.59239,0.91455,0.8037,0.001901,0.001901,0.001901
12,228.06,0.70677,0.98792,0.90414,0.99565,1,0.995,0.89472,0.56593,0.80439,0.7881,0.0018911,0.0018911,0.0018911
13,245.62,0.67273,0.96156,0.90123,0.99455,1,0.995,0.87319,0.57706,0.88677,0.78274,0.0018812,0.0018812,0.0018812
14,265.062,0.64823,0.87881,0.89169,0.99495,1,0.995,0.85576,0.55668,0.76208,0.80507,0.0018713,0.0018713,0.0018713
15,283.988,0.66266,0.85227,0.89321,0.99514,1,0.995,0.85869,0.57383,0.70723,0.80781,0.0018614,0.0018614,0.0018614
16,302.368,0.66961,0.78166,0.88627,0.9904,1,0.995,0.87206,0.5601,0.68786,0.79905,0.0018515,0.0018515,0.0018515
17,321.892,0.66461,0.81057,0.89815,0.99481,1,0.995,0.83436,0.62313,0.71742,0.81827,0.0018416,0.0018416,0.0018416
18,340.599,0.65495,0.78686,0.90292,0.99381,1,0.995,0.87746,0.5506,0.72578,0.77802,0.0018317,0.0018317,0.0018317
19,360.163,0.58476,0.70214,0.85214,0.99178,1,0.995,0.86775,0.55851,0.75569,0.78163,0.0018218,0.0018218,0.0018218
20,378.762,0.63691,0.70842,0.9032,0.99374,1,0.995,0.89209,0.52741,0.62591,0.78052,0.0018119,0.0018119,0.0018119
21,396.73,0.62293,0.69713,0.89169,0.99515,1,0.995,0.88462,0.51552,0.59039,0.76846,0.001802,0.001802,0.001802
22,415.135,0.64404,0.68816,0.89715,0.99494,1,0.995,0.90082,0.50672,0.5028,0.7695,0.0017921,0.0017921,0.0017921
23,433.023,0.61566,0.66409,0.89687,0.99567,1,0.995,0.90405,0.50178,0.53894,0.75836,0.0017822,0.0017822,0.0017822
24,452.148,0.60741,0.65073,0.87687,0.99558,1,0.995,0.8636,0.53444,0.51776,0.77701,0.0017723,0.0017723,0.0017723
25,471.246,0.62838,0.64608,0.87642,0.99517,1,0.995,0.87766,0.5284,0.53294,0.76953,0.0017624,0.0017624,0.0017624
26,489.743,0.59955,0.60372,0.85916,0.9935,1,0.995,0.88075,0.51139,0.47947,0.76903,0.0017525,0.0017525,0.0017525
