epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8031,2.22034,5.26599,3.21288,0,0,0,0,1.15492,4.31296,2.46266,5.55286e-05,5.55286e-05,5.55286e-05
2,30.2047,1.49785,4.92797,2.41085,0.00432,0.27273,0.01748,0.01041,0.77149,4.13967,1.75669,0.000111308,0.000111308,0.000111308
3,44.234,1.1663,4.76653,2.22832,0.01315,0.57273,0.04869,0.0418,0.52518,3.8155,1.53249,0.00016653,0.00016653,0.00016653
4,58.4892,0.99604,4.47826,2.0531,0.01469,0.76364,0.073,0.06538,0.48864,3.50314,1.47622,0.00016649,0.00016649,0.00016649
5,72.5561,0.92144,4.20942,2.09891,0.98501,0.05447,0.10452,0.09931,0.43384,3.26202,1.32905,0.000165654,0.000165654,0.000165654
6,86.9321,0.91369,4.02078,2.01772,0.86629,0.09091,0.11341,0.10713,0.4333,3.16422,1.3562,0.000164817,0.000164817,0.000164817
7,100.963,0.86923,3.84345,1.97519,0.77546,0.16667,0.16465,0.15585,0.39556,2.98655,1.30853,0.000163981,0.000163981,0.000163981
8,115.067,0.85491,3.72345,1.95696,0.71929,0.17342,0.16922,0.15806,0.36827,2.88509,1.25758,0.000163144,0.000163144,0.000163144
9,128.872,0.8563,3.6487,1.9879,0.47064,0.37531,0.20258,0.19364,0.38625,2.79478,1.26918,0.000162308,0.000162308,0.000162308
10,142.783,0.81917,3.48288,1.90509,0.6434,0.2036,0.17061,0.15756,0.40402,2.73377,1.26724,0.000161471,0.000161471,0.000161471
11,156.645,0.78658,3.35812,1.83601,0.52144,0.21818,0.20882,0.19979,0.34841,2.64768,1.22137,0.000160635,0.000160635,0.000160635
12,171,0.80257,3.33296,1.88351,0.66509,0.19093,0.27226,0.26273,0.31967,2.5874,1.19323,0.000159798,0.000159798,0.000159798
13,185.219,0.81687,3.18266,1.83923,0.53347,0.25455,0.28986,0.27299,0.40171,2.52141,1.27481,0.000158961,0.000158961,0.000158961
14,199.097,0.80014,3.13,1.8517,0.59312,0.29091,0.29176,0.27962,0.31389,2.47048,1.13781,0.000158125,0.000158125,0.000158125
15,213.33,0.76525,3.13628,1.8394,0.65525,0.30213,0.30319,0.29047,0.33889,2.43387,1.1815,0.000157288,0.000157288,0.000157288
16,227.324,0.79484,3.07591,1.85652,0.67741,0.27274,0.33048,0.31799,0.31063,2.36028,1.16605,0.000156452,0.000156452,0.000156452
17,241.641,0.76575,2.94724,1.8487,0.69877,0.29892,0.36394,0.34644,0.35637,2.30967,1.16942,0.000155615,0.000155615,0.000155615
18,255.815,0.75767,2.92145,1.8094,0.76177,0.22813,0.3823,0.3641,0.34565,2.25969,1.19178,0.000154779,0.000154779,0.000154779
19,270.051,0.7487,2.88779,1.82461,0.59346,0.30072,0.43086,0.41355,0.31,2.14495,1.16211,0.000153942,0.000153942,0.000153942
20,284.384,0.74745,2.77528,1.77781,0.55959,0.35977,0.4573,0.43876,0.32974,2.11469,1.18676,0.000153106,0.000153106,0.000153106
21,298.706,0.7,2.57486,1.71784,0.58944,0.40084,0.48255,0.46995,0.30407,2.07338,1.17116,0.000152269,0.000152269,0.000152269
22,312.885,0.72561,2.73741,1.75701,0.47585,0.55818,0.52206,0.50258,0.3097,1.94363,1.14156,0.000151432,0.000151432,0.000151432
23,327.312,0.70445,2.6128,1.68906,0.51144,0.58918,0.60329,0.586,0.30279,1.85208,1.13028,0.000150596,0.000150596,0.000150596
24,341.403,0.71388,2.61338,1.80275,0.46861,0.62675,0.6305,0.61512,0.3013,1.8131,1.15065,0.000149759,0.000149759,0.000149759
25,356.072,0.73673,2.56587,1.83056,0.53944,0.67218,0.62025,0.60691,0.29361,1.78082,1.13383,0.000148923,0.000148923,0.000148923
26,370.146,0.7166,2.52995,1.80451,0.40096,0.68868,0.64083,0.62332,0.30529,1.74335,1.14513,0.000148086,0.000148086,0.000148086
27,384.543,0.69809,2.45484,1.72262,0.49517,0.6259,0.72813,0.71545,0.28583,1.6916,1.13819,0.00014725,0.00014725,0.00014725
28,398.683,0.71054,2.44074,1.75412,0.42158,0.72689,0.72357,0.69595,0.32286,1.62271,1.13406,0.000146413,0.000146413,0.000146413
29,412.968,0.67701,2.39842,1.72158,0.65448,0.61025,0.76702,0.75245,0.28551,1.58821,1.12464,0.000145577,0.000145577,0.000145577
30,427.305,0.68654,2.39398,1.73894,0.41593,0.79182,0.77762,0.75488,0.3114,1.5259,1.10622,0.00014474,0.00014474,0.00014474
31,441.564,0.72058,2.41219,1.79505,0.52141,0.73313,0.76393,0.75091,0.2846,1.4777,1.11192,0.000143904,0.000143904,0.000143904
32,455.854,0.66632,2.25741,1.67542,0.55445,0.69074,0.76597,0.74909,0.30413,1.43378,1.12286,0.000143067,0.000143067,0.000143067
33,470.124,0.65655,2.25639,1.71409,0.56003,0.70437,0.79563,0.78394,0.29895,1.4086,1.12978,0.00014223,0.00014223,0.00014223
34,484.489,0.64869,2.13948,1.66331,0.61247,0.68057,0.80302,0.79038,0.29052,1.36355,1.11912,0.000141394,0.000141394,0.000141394
35,499.03,0.66794,2.18995,1.69378,0.56908,0.70438,0.80692,0.79736,0.27589,1.34325,1.10957,0.000140557,0.000140557,0.000140557
36,513.259,0.70229,2.21478,1.72847,0.55943,0.79275,0.82865,0.81742,0.28281,1.30973,1.1201,0.000139721,0.000139721,0.000139721
37,527.886,0.65935,2.11478,1.67695,0.52551,0.78182,0.87007,0.85051,0.29395,1.27823,1.11998,0.000138884,0.000138884,0.000138884
38,542.144,0.65179,2.19388,1.67462,0.68508,0.73538,0.8658,0.84341,0.31431,1.24887,1.13337,0.000138048,0.000138048,0.000138048
39,556.453,0.64989,2.11991,1.67535,0.67354,0.67426,0.85148,0.83889,0.27051,1.21601,1.0956,0.000137211,0.000137211,0.000137211
40,571.024,0.65887,2.09329,1.75391,0.67211,0.74545,0.86384,0.84535,0.27549,1.1662,1.0948,0.000136375,0.000136375,0.000136375
41,585.612,0.63558,1.95818,1.6367,0.61165,0.83636,0.90907,0.88849,0.29401,1.1455,1.0988,0.000135538,0.000135538,0.000135538
42,599.837,0.66189,2.07223,1.7133,0.7014,0.8,0.89068,0.87642,0.27703,1.11887,1.11462,0.000134701,0.000134701,0.000134701
43,614.066,0.66619,1.9849,1.70708,0.61826,0.81112,0.90364,0.87977,0.30743,1.08842,1.12752,0.000133865,0.000133865,0.000133865
44,628.208,0.67239,2.00079,1.71849,0.6045,0.83636,0.90666,0.88948,0.27407,1.07751,1.10791,0.000133028,0.000133028,0.000133028
45,642.32,0.6694,2.05853,1.72963,0.64078,0.81521,0.91962,0.90401,0.26419,1.03848,1.09523,0.000132192,0.000132192,0.000132192
46,656.594,0.64119,1.9483,1.68117,0.68677,0.8,0.93319,0.91593,0.26143,1.01506,1.08561,0.000131355,0.000131355,0.000131355
