epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13701,1.13534,3.68891,1.1463,0.00689,1,0.33286,0.25661,0.6335,3.27696,0.79611,0.00028339,0.00028339,0.00028339
2,7.3108,0.85449,2.22236,0.93572,0.00667,1,0.77365,0.52941,0.59668,3.07217,0.83477,0.000580562,0.000580562,0.000580562
3,10.4591,0.85817,1.61752,0.96594,0.08098,0.96154,0.85429,0.73373,0.59159,2.88825,0.85819,0.000874763,0.000874763,0.000874763
4,13.5689,0.85827,1.3829,0.96973,0.81255,0.85554,0.94725,0.81238,0.57819,2.77327,0.84557,0.00116599,0.00116599,0.00116599
5,16.6689,0.81686,1.3221,0.95547,0.97462,0.35978,0.98763,0.8164,0.63615,2.49309,0.86247,0.00145425,0.00145425,0.00145425
6,19.6679,0.7978,1.1863,0.93602,0.98388,0.95391,0.99345,0.82999,0.65685,1.50563,0.86349,0.00162574,0.00162574,0.00162574
7,22.6241,0.78348,1.14693,0.92985,1,0.93986,0.97909,0.83987,0.61289,1.32991,0.85145,0.00161749,0.00161749,0.00161749
8,25.6466,0.7474,1.14831,0.92593,0.8674,0.77478,0.89599,0.79752,0.58302,1.61075,0.86537,0.00160924,0.00160924,0.00160924
9,28.6645,0.74118,1.04658,0.91705,0.97603,0.92893,0.97522,0.82674,0.60072,1.09898,0.84838,0.00160099,0.00160099,0.00160099
10,31.7113,0.73302,0.9748,0.91007,0.99705,1,0.995,0.86836,0.51666,0.70557,0.82889,0.00159274,0.00159274,0.00159274
11,34.6881,0.70212,0.92654,0.91131,0.99795,1,0.995,0.85981,0.57236,0.76111,0.84503,0.00158448,0.00158448,0.00158448
12,37.7368,0.72404,0.94966,0.90284,0.99743,1,0.995,0.90608,0.47682,0.68766,0.81288,0.00157623,0.00157623,0.00157623
13,40.6965,0.76998,0.9682,0.94354,0.99693,1,0.995,0.89729,0.48941,0.67593,0.81446,0.00156798,0.00156798,0.00156798
14,43.8345,0.71401,0.89606,0.90301,0.99652,1,0.995,0.90341,0.53709,0.68534,0.82554,0.00155973,0.00155973,0.00155973
15,47.0602,0.69728,0.83405,0.91307,0.99722,1,0.995,0.91004,0.49094,0.6023,0.81253,0.00155148,0.00155148,0.00155148
16,52.4499,0.66869,0.79229,0.8871,0.99634,1,0.995,0.89754,0.50807,0.60327,0.82338,0.00154323,0.00154323,0.00154323
17,57.9447,0.67399,0.77535,0.88014,0.99666,1,0.995,0.89699,0.51573,0.60268,0.82338,0.00153497,0.00153497,0.00153497
18,63.451,0.65937,0.79301,0.88688,0.9959,1,0.995,0.89156,0.4854,0.56178,0.8144,0.00152672,0.00152672,0.00152672
19,69.0289,0.66906,0.76611,0.87902,0.98448,1,0.995,0.9009,0.4636,0.59857,0.81234,0.00151847,0.00151847,0.00151847
20,74.4945,0.68082,0.77175,0.8834,0.99637,1,0.995,0.88564,0.47077,0.53777,0.81623,0.00151022,0.00151022,0.00151022
21,79.9439,0.6586,0.75505,0.89089,0.99478,1,0.995,0.90323,0.49581,0.52992,0.81515,0.00150197,0.00150197,0.00150197
22,85.499,0.6547,0.73888,0.88542,0.99742,1,0.995,0.88791,0.51074,0.52319,0.8207,0.00149372,0.00149372,0.00149372
23,91.2546,0.64827,0.69136,0.90018,0.99541,1,0.995,0.89878,0.46734,0.56168,0.81064,0.00148546,0.00148546,0.00148546
24,96.6657,0.61906,0.68229,0.86725,0.99625,1,0.995,0.88774,0.50949,0.53334,0.81759,0.00147721,0.00147721,0.00147721
25,102.224,0.6255,0.63622,0.87043,0.99553,1,0.995,0.90336,0.47156,0.52564,0.81006,0.00146896,0.00146896,0.00146896
26,107.687,0.6188,0.64529,0.87911,0.99389,1,0.995,0.9167,0.44146,0.51578,0.8068,0.00146071,0.00146071,0.00146071
27,113.177,0.63758,0.63149,0.8821,0.99545,1,0.995,0.88624,0.48602,0.5078,0.81169,0.00145246,0.00145246,0.00145246
28,118.496,0.64649,0.64738,0.89349,0.99577,1,0.995,0.90333,0.46625,0.50073,0.80993,0.00144421,0.00144421,0.00144421
29,123.809,0.65469,0.66203,0.8962,0.99495,1,0.995,0.89243,0.45722,0.49818,0.81706,0.00143595,0.00143595,0.00143595
30,129.27,0.64642,0.65736,0.89958,0.99491,1,0.995,0.90265,0.42742,0.47197,0.80965,0.0014277,0.0014277,0.0014277
31,134.74,0.58497,0.59178,0.86503,0.99731,1,0.995,0.9075,0.45111,0.44483,0.81288,0.00141945,0.00141945,0.00141945
32,140.213,0.58981,0.59676,0.8697,0.99758,1,0.995,0.88935,0.47541,0.43236,0.81702,0.0014112,0.0014112,0.0014112
33,145.617,0.63804,0.59901,0.89891,0.99725,1,0.995,0.90293,0.44925,0.42453,0.81279,0.00140295,0.00140295,0.00140295
34,151.324,0.62096,0.58119,0.8728,0.99772,1,0.995,0.91578,0.41124,0.42156,0.80224,0.0013947,0.0013947,0.0013947
35,156.717,0.63481,0.59154,0.89967,0.99606,1,0.995,0.90383,0.44165,0.41021,0.80681,0.00138644,0.00138644,0.00138644
36,162.118,0.59406,0.55939,0.89351,0.99705,1,0.995,0.88371,0.48225,0.41917,0.81245,0.00137819,0.00137819,0.00137819
37,167.63,0.65043,0.57105,0.88821,0.99786,1,0.995,0.90362,0.43117,0.40027,0.80256,0.00136994,0.00136994,0.00136994
38,173.088,0.58904,0.54224,0.86755,0.99657,1,0.995,0.91124,0.43198,0.37678,0.8038,0.00136169,0.00136169,0.00136169
39,178.517,0.623,0.56011,0.88886,0.99599,1,0.995,0.89801,0.47967,0.39728,0.80799,0.00135344,0.00135344,0.00135344
40,183.979,0.63713,0.54373,0.88056,0.99575,1,0.995,0.90681,0.4221,0.38869,0.80082,0.00134519,0.00134519,0.00134519
41,189.439,0.60222,0.53271,0.87326,0.99552,1,0.995,0.91283,0.4301,0.4014,0.80517,0.00133693,0.00133693,0.00133693
42,195.134,0.61704,0.5346,0.88514,0.99697,1,0.995,0.90397,0.45297,0.35807,0.80539,0.00132868,0.00132868,0.00132868
43,200.611,0.60421,0.5069,0.87576,0.99716,1,0.995,0.8974,0.45511,0.3411,0.80835,0.00132043,0.00132043,0.00132043
44,206.245,0.58172,0.48598,0.85209,0.99714,1,0.995,0.8749,0.50682,0.36783,0.8145,0.00131218,0.00131218,0.00131218
45,211.607,0.59524,0.51071,0.86877,0.99618,1,0.995,0.89097,0.47295,0.36164,0.80355,0.00130393,0.00130393,0.00130393
46,217.11,0.57224,0.50878,0.86467,0.99735,1,0.995,0.89211,0.48976,0.34332,0.80803,0.00129568,0.00129568,0.00129568
47,222.416,0.58124,0.49026,0.86565,0.99793,1,0.995,0.89787,0.4788,0.32808,0.80475,0.00128742,0.00128742,0.00128742
48,227.758,0.57718,0.50084,0.86337,0.99736,1,0.995,0.90907,0.45134,0.32879,0.80514,0.00127917,0.00127917,0.00127917
