epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5667,1.6856,3.99611,1.64459,0.00287,0.3,0.00559,0.00157,0.95411,3.72541,1.35856,0.00010003,0.00010003,0.00010003
2,4.05768,1.09959,3.49604,1.1995,0.00608,0.7,0.24369,0.19439,0.53736,3.24547,0.82154,0.000213289,0.000213289,0.000213289
3,5.46355,0.9178,2.94535,1.04753,0.01652,1,0.49142,0.40063,0.60738,3.08615,0.8336,0.000325416,0.000325416,0.000325416
4,6.86993,0.95385,2.45457,1.04921,0.01786,1,0.6928,0.57968,0.63408,2.82169,0.83171,0.000436412,0.000436412,0.000436412
5,8.25022,0.9311,1.97456,0.99779,0.01614,1,0.90384,0.7631,0.5545,2.65569,0.81811,0.000546275,0.000546275,0.000546275
6,9.66326,0.83639,1.62011,0.9905,0.25662,1,0.95195,0.79391,0.64078,2.5363,0.85883,0.000655007,0.000655007,0.000655007
7,11.0474,0.92299,1.58701,1.02124,0.98259,0.45064,0.995,0.85304,0.6229,2.11071,0.83504,0.000762607,0.000762607,0.000762607
8,12.3766,0.89739,1.46379,1.01068,1,0.61169,0.995,0.85749,0.63238,2.09013,0.8362,0.000869076,0.000869076,0.000869076
9,13.7472,0.84749,1.27144,0.99232,0.89142,0.77431,0.99197,0.84671,0.6715,1.82655,0.85411,0.000974412,0.000974412,0.000974412
10,15.1944,0.89656,1.26211,1.00808,0.9159,0.96652,0.99197,0.84145,0.62446,1.5738,0.8485,0.00107862,0.00107862,0.00107862
11,16.7103,0.8576,1.24731,0.9841,0.98283,0.97285,0.995,0.85511,0.6069,1.40808,0.8357,0.00118169,0.00118169,0.00118169
12,18.0609,0.80391,1.20878,0.9713,0.93933,0.96529,0.99197,0.87224,0.54137,1.33676,0.81717,0.00128363,0.00128363,0.00128363
13,19.4396,0.84418,1.18088,0.99201,0.89146,0.96447,0.96222,0.81337,0.69852,1.22524,0.84122,0.00134412,0.00134412,0.00134412
14,20.7684,0.78875,1.11429,0.94711,0.94542,0.99507,0.99197,0.86417,0.61637,1.1559,0.82244,0.00133704,0.00133704,0.00133704
15,22.0996,0.85535,1.14503,0.97763,0.93024,1,0.99197,0.84289,0.63271,1.14722,0.83082,0.00132997,0.00132997,0.00132997
16,23.4918,0.83166,1.12468,0.98374,0.96982,0.98734,0.995,0.85224,0.57647,0.88323,0.82579,0.0013229,0.0013229,0.0013229
17,25.0472,0.81213,1.09134,0.95567,0.96467,1,0.995,0.87838,0.55133,0.81096,0.82727,0.00131582,0.00131582,0.00131582
18,26.3995,0.82509,1.09791,0.97376,0.95127,0.96667,0.98731,0.84429,0.64213,0.91077,0.86461,0.00130875,0.00130875,0.00130875
19,27.7751,0.80411,1.04527,0.95855,0.97464,0.93607,0.99197,0.87631,0.56551,0.85404,0.83278,0.00130168,0.00130168,0.00130168
20,29.1701,0.79606,1.07018,0.96855,0.98456,0.97571,0.995,0.86861,0.52413,0.75687,0.81059,0.0012946,0.0012946,0.0012946
21,30.5467,0.79143,1.13094,0.98315,0.98292,0.9955,0.995,0.87073,0.56667,0.72542,0.82048,0.00128753,0.00128753,0.00128753
22,32.0449,0.74273,0.99373,0.94341,0.97258,1,0.995,0.84854,0.62307,0.81541,0.83943,0.00128046,0.00128046,0.00128046
23,33.4767,0.76993,1.0436,0.96736,0.98344,0.99838,0.995,0.88224,0.55267,0.78465,0.80897,0.00127338,0.00127338,0.00127338
24,35.0642,0.74003,0.96468,0.97091,0.98091,1,0.995,0.89642,0.49735,0.80281,0.79443,0.00126631,0.00126631,0.00126631
25,36.4101,0.69972,0.94918,0.93726,0.97368,1,0.995,0.89963,0.5073,0.76925,0.80158,0.00125923,0.00125923,0.00125923
26,37.7659,0.74559,0.90259,0.93681,0.96934,0.99836,0.995,0.88685,0.52656,0.7538,0.80105,0.00125216,0.00125216,0.00125216
27,39.3287,0.70417,0.9108,0.93827,0.98559,1,0.995,0.88145,0.5327,0.73252,0.80363,0.00124509,0.00124509,0.00124509
28,40.8277,0.6829,0.86469,0.91816,0.99095,1,0.995,0.84234,0.54394,0.78715,0.81464,0.00123801,0.00123801,0.00123801
29,42.1561,0.72536,0.91102,0.93956,0.99118,1,0.995,0.8541,0.54487,0.72269,0.81177,0.00123094,0.00123094,0.00123094
30,43.5826,0.70926,0.92919,0.9389,0.98859,1,0.995,0.89465,0.528,0.69073,0.80097,0.00122387,0.00122387,0.00122387
31,44.9619,0.71412,0.86047,0.93258,0.98626,1,0.995,0.89024,0.52656,0.67013,0.7984,0.00121679,0.00121679,0.00121679
32,46.3264,0.74113,0.87068,0.94497,0.98286,1,0.995,0.90554,0.47375,0.65885,0.7823,0.00120972,0.00120972,0.00120972
33,47.7053,0.61354,0.78714,0.90977,0.98732,1,0.995,0.91772,0.47568,0.6888,0.78701,0.00120265,0.00120265,0.00120265
34,49.0625,0.66628,0.811,0.92533,0.99057,1,0.995,0.89826,0.49152,0.64834,0.78735,0.00119557,0.00119557,0.00119557
35,50.3646,0.65651,0.81016,0.91216,0.99263,1,0.995,0.90781,0.48591,0.6414,0.78727,0.0011885,0.0011885,0.0011885
36,51.6686,0.64285,0.78454,0.92289,0.98473,1,0.995,0.89932,0.49021,0.64031,0.78707,0.00118143,0.00118143,0.00118143
37,53.0346,0.5974,0.74969,0.88226,0.98038,1,0.995,0.88501,0.49017,0.6102,0.7871,0.00117435,0.00117435,0.00117435
38,54.3553,0.66504,0.79623,0.94098,0.97801,1,0.995,0.88251,0.48855,0.60586,0.78935,0.00116728,0.00116728,0.00116728
39,55.6903,0.63968,0.74585,0.90307,0.98783,1,0.995,0.89295,0.45473,0.57599,0.78479,0.00116021,0.00116021,0.00116021
40,57.1124,0.6595,0.77725,0.92628,0.99316,1,0.995,0.89355,0.5039,0.6092,0.78706,0.00115313,0.00115313,0.00115313
41,58.5689,0.64267,0.76182,0.9303,0.99324,1,0.995,0.88115,0.48893,0.59708,0.78454,0.00114606,0.00114606,0.00114606
42,59.9832,0.63998,0.768,0.91794,0.98958,1,0.995,0.88371,0.52137,0.57857,0.79258,0.00113898,0.00113898,0.00113898
43,61.362,0.62616,0.73237,0.90205,0.98467,1,0.995,0.89678,0.49593,0.58054,0.78721,0.00113191,0.00113191,0.00113191
44,62.7161,0.64642,0.80918,0.94194,0.98246,1,0.995,0.91645,0.43436,0.55996,0.77548,0.00112484,0.00112484,0.00112484
45,64.0422,0.67023,0.79865,0.93427,0.97978,1,0.995,0.92045,0.42764,0.5447,0.7722,0.00111776,0.00111776,0.00111776
46,65.4276,0.60139,0.73039,0.89956,0.98737,1,0.995,0.91586,0.46283,0.54436,0.77609,0.00111069,0.00111069,0.00111069
47,66.7687,0.63471,0.72454,0.91281,0.99429,1,0.995,0.89094,0.49167,0.53842,0.78054,0.00110362,0.00110362,0.00110362
48,68.042,0.60748,0.71727,0.88548,0.9937,1,0.995,0.88807,0.4953,0.56951,0.78235,0.00109654,0.00109654,0.00109654
49,69.4159,0.58223,0.7027,0.88625,0.99228,1,0.995,0.89912,0.49189,0.55367,0.78116,0.00108947,0.00108947,0.00108947
50,70.7089,0.60519,0.71601,0.9208,0.99257,1,0.995,0.90359,0.50188,0.52525,0.78227,0.0010824,0.0010824,0.0010824
51,72.0243,0.62931,0.70615,0.90807,0.9942,1,0.995,0.89382,0.52211,0.52616,0.78983,0.00107532,0.00107532,0.00107532
52,73.4427,0.60459,0.69648,0.90224,0.99393,1,0.995,0.88941,0.50103,0.53207,0.79082,0.00106825,0.00106825,0.00106825
53,74.8912,0.62422,0.71594,0.93034,0.99356,1,0.995,0.89563,0.47887,0.5162,0.79353,0.00106118,0.00106118,0.00106118
