epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.25355,2.64807,0.22714,0.83899,5.30954,2.30264,0.04455,0.3,0.03817,0.0121,0.10396,0.7,0.12344,0.06489,2.06054,0.17282,0.76027,4.33114,1.8426,0.0001,0.0001,0.0001
2,4.61596,2.33777,0.29246,0.81698,3.78005,1.84443,0.87321,0.91851,0.88156,0.4314,0.90479,0.95061,0.9592,0.94367,1.26149,0.22172,0.69183,1.65703,1.05006,0.000218911,0.000218911,0.000218911
3,5.83944,1.50696,0.247,0.68527,1.58418,1.26942,0.87635,0.94519,0.9491,0.71684,0.90726,0.97853,0.9795,0.96223,0.90371,0.18087,0.65234,1.80866,0.92085,0.000336634,0.000336634,0.000336634
4,6.97495,1.09734,0.15734,0.55953,0.97261,1.05004,0.95149,1,0.99177,0.76936,0.95149,1,0.99177,0.98649,0.78276,0.17454,0.61045,1.43702,0.90111,0.000453169,0.000453169,0.000453169
5,8.11368,1.06912,0.13555,0.49651,0.90717,1.06007,0.9515,1,0.995,0.80841,0.9515,1,0.995,0.995,0.79532,0.15123,0.57142,0.99422,0.90232,0.000568516,0.000568516,0.000568516
6,9.25852,1.00689,0.13245,0.42825,0.72602,0.99228,0.99731,1,0.995,0.81694,0.99731,1,0.995,0.995,0.76128,0.14043,0.5322,0.56346,0.87963,0.000682675,0.000682675,0.000682675
7,10.3974,0.99404,0.1311,0.39184,0.71501,1.01076,0.99621,1,0.995,0.78428,0.99621,1,0.995,0.995,0.79539,0.12572,0.49211,0.55033,0.87294,0.000795646,0.000795646,0.000795646
8,11.5423,0.96254,0.10565,0.3812,0.71089,0.99335,0.99095,1,0.995,0.81985,0.99095,1,0.995,0.995,0.73936,0.11336,0.45121,0.58337,0.86241,0.000907429,0.000907429,0.000907429
9,12.681,0.91221,0.09364,0.35615,0.63991,0.97733,0.98062,1,0.995,0.80123,0.98062,1,0.995,0.995,0.72524,0.10392,0.41625,0.58399,0.8604,0.00101802,0.00101802,0.00101802
10,13.8504,0.93498,0.07752,0.38537,0.65983,0.98522,0.97978,1,0.995,0.80338,0.97978,1,0.995,0.995,0.69133,0.08311,0.32769,0.52378,0.84637,0.00112743,0.00112743,0.00112743
