epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.43904,2.88323,2.85407,0.7079,5.54854,3.22324,0.00259,0.3,0.00172,0.00028,0.00862,1,0.01693,0.00471,1.98453,2.57088,0.69928,6.09519,3.41716,0.00013336,0.00013336,0.00013336
2,4.17013,1.96969,2.91122,0.69852,4.54499,2.34813,0.76124,0.95843,0.88101,0.49543,0.76124,0.95843,0.88101,0.28734,1.65054,2.50981,0.67703,3.72781,2.24305,0.000281987,0.000281987,0.000281987
3,5.83999,1.52852,2.21691,0.65046,3.51654,1.81663,0.5046,1,0.73145,0.39343,0.5046,1,0.73145,0.34255,1.40581,2.19306,0.57081,10.2863,1.99264,0.000429129,0.000429129,0.000429129
4,7.56599,1.32201,1.46508,0.63904,2.76493,1.52526,0.67197,1,0.88036,0.56379,0.67197,1,0.88036,0.52815,0.80105,1.78694,0.63016,3.1787,1.10589,0.000574786,0.000574786,0.000574786
5,9.16607,1.20062,0.98491,0.62899,1.99472,1.26424,0.99336,1,0.995,0.71294,0.99336,1,0.995,0.83716,1.10313,1.23609,0.67654,3.39731,1.4393,0.000718957,0.000718957,0.000718957
6,10.743,1.13574,0.79038,0.58851,2.06417,1.22282,0.99321,1,0.995,0.85292,0.99321,1,0.995,0.86309,0.70682,1.14174,0.64232,1.56196,0.99874,0.000861643,0.000861643,0.000861643
7,12.329,1.16055,0.65805,0.5195,1.85519,1.20336,0.85556,1,0.995,0.7409,0.85556,1,0.995,0.96133,0.97702,0.53356,0.55814,2.40402,1.32124,0.00100284,0.00100284,0.00100284
8,13.8989,1.04383,0.50786,0.53539,1.65127,1.20827,0.9813,1,0.995,0.78583,0.9813,1,0.995,0.995,0.93663,0.32898,0.51312,1.76373,1.17541,0.00114256,0.00114256,0.00114256
9,15.4268,1.0944,0.42594,0.54834,1.61425,1.20329,0.94756,1,0.995,0.68963,0.94756,1,0.995,0.8987,1.13824,0.4206,0.44129,1.7707,1.48231,0.00128079,0.00128079,0.00128079
10,16.9521,1.14119,0.46722,0.48586,1.55203,1.2343,0.9271,1,0.995,0.84275,0.9271,1,0.995,0.77389,0.74573,0.59936,0.36859,1.58311,1.06868,0.00141753,0.00141753,0.00141753
